"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",214.45319213047,0.0515720243541085,NA,NA,NA,NA
"20000c1 MWG",3415.29957044999,0.0143726080975634,NA,NA,NA,NA
"50c1 Gibbs",152630.127594647,0.00364150641234734,NA,NA,NA,NA
"50c1 MWG",9200.87396506756,0.014877147922513,NA,NA,NA,NA
"100c2 Gibbs",24588.188665173,0.0127350666071559,32147.2767349936,0.000175368523944244,NA,NA
"100c2 MWG",4774.39063001925,0.0294339987825108,NA,0,NA,NA
"100c3 Gibbs",668.89301630632,0.0696745805474182,655.445656529404,0.0209931569716424,452.307239870352,0.0600049148916407
"100c3 MWG",3989.11727363333,0.0400836738832127,4105.17202933782,0.0110601762215869,3972.78567094867,0.0178381935298034
"60c3 Gibbs",2976.32788580839,0.0196048758138979,4813.80565218901,0.000295407564206673,4211.1519010501,0.0211644160466066
"60c3 MWG",2713.64160403793,0.018894805063762,NA,0,2745.95597737596,0.0239521401845826
