"","ess first cp","mcse first cp","ess second cp","mcse second cp","ess third cp","mcse third cp"
"20000c1 Gibbs",186.297340360586,0.0640312423742859,NA,NA,NA,NA
"20000c1 MWG",51831.4499496805,0.0172573118420347,NA,NA,NA,NA
"50c1 Gibbs",132440.476939971,0.00391615688486504,NA,NA,NA,NA
"50c1 MWG",6693.18559503179,0.0173524230930993,NA,NA,NA,NA
"100c2 Gibbs",790.242790598999,0.166760269968087,825.26519845665,0.0938696514318152,NA,NA
"100c2 MWG",4685.90272937881,0.13722360490722,4782.38915488288,0.0873372730594991,NA,NA
"100c3 Gibbs",387.923772440108,0.153445561020851,762.856845555686,0.0193628271873981,635.2718821103,0.0556775254051923
"100c3 MWG",4370.60143901198,0.0265040557941997,4389.37648799915,0.00815992934093452,4360.67530135616,0.0132191739421455
"60c3 Gibbs",215.645275495113,0.299433635575238,191.573455686189,0.436594983561353,203.622643666662,0.377779883046474
"60c3 MWG",4259.68946010078,0.162529815534057,4261.81142419582,0.21769209029789,4263.91043073314,0.159979261248605
